x_value,y_value,z_value
,,
0.037376758456230164,0.05508242845535278,0.07114118933677673
0.03978377878665924,0.06119503378868103,0.10603278875350952
0.0407665491104126,0.06274434924125671,0.11031705141067505
0.040393489599227905,0.06199546456336975,0.09725119471549988
0.040590423345565796,0.06206702589988708,0.10913535356521606
0.04100155830383301,0.06240827441215515,0.11220309734344482
0.04134747087955475,0.06268351078033447,0.11923643350601196
0.04202767312526703,0.0628210723400116,0.10779430866241455
0.04184933602809906,0.06278190016746521,0.11753615140914917
0.041671496629714966,0.06278064250946045,0.12421401739120483
0.041730207204818726,0.06348022222518921,0.12625305652618408
0.04186946451663971,0.0638167679309845,0.12636899948120117
0.04229721128940582,0.06385638117790222,0.12924439907073975
0.04291226863861084,0.06375954747200012,0.13636919260025024
